# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.05            	U               	(2.11676871e-02 -2.38227056e-04 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(2.11676871e-02 -2.38227056e-04 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.05            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	1.46304253e+02	(5.10204081e-02 4.74498710e-02 0.00000000e+00)
0.1             	U               	(4.52529019e-02 -1.13169314e-03 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(4.52529019e-02 -1.13169314e-03 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.1             	p               	-3.07725360e+00	(5.10204081e-02 4.52653054e-01 0.00000000e+00)	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)
0.15            	U               	(2.07230151e-02 -1.05256661e-04 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(2.07230151e-02 -1.05256661e-04 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.15            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	2.95737521e+00	(1.53061224e-01 4.97500000e-01 -2.80961505e-18)
0.2             	U               	(1.76294669e-02 -1.55492375e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.76294669e-02 -1.55492375e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.2             	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	2.02460068e+00	(3.57142857e-01 -4.97500000e-01 1.35662076e-18)
0.25            	U               	(1.68301742e-02 4.02410281e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.68301742e-02 4.02410281e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.25            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	1.75101231e+00	(3.57142857e-01 -4.97500000e-01 1.35662076e-18)
0.3             	U               	(1.72965836e-02 4.68276253e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.72965836e-02 4.68276253e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.3             	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	1.56330242e+00	(4.59183673e-01 4.97500000e-01 -2.90598858e-18)
0.35            	U               	(1.80287021e-02 3.94481995e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.80287021e-02 3.94481995e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.35            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	1.42436639e+00	(5.61224490e-01 4.97500000e-01 0.00000000e+00)
0.4             	U               	(1.86796299e-02 2.74379103e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.86796299e-02 2.74379103e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.4             	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	1.31751780e+00	(5.61224490e-01 4.97500000e-01 0.00000000e+00)
0.45            	U               	(1.91262441e-02 1.70210464e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.91262441e-02 1.70210464e-05 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.45            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	1.23095033e+00	(6.63265306e-01 4.97500000e-01 -2.90598858e-18)
0.5             	U               	(1.93804766e-02 9.60817556e-06 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.93804766e-02 9.60817556e-06 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.5             	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	1.15726576e+00	(6.63265306e-01 -4.97500000e-01 2.80961505e-18)
0.55            	U               	(1.94915187e-02 5.00453439e-06 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.94915187e-02 5.00453439e-06 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.55            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	1.09610141e+00	(7.65306122e-01 4.97500000e-01 0.00000000e+00)
0.6             	U               	(1.95287188e-02 2.37781430e-06 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.95287188e-02 2.37781430e-06 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.6             	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	1.04063989e+00	(7.65306122e-01 -4.97500000e-01 0.00000000e+00)
0.65            	U               	(1.95350852e-02 1.02081120e-06 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.95350852e-02 1.02081120e-06 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.65            	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	1.00670175e+00	(5.10204081e-02 4.74498710e-02 0.00000000e+00)
0.7             	U               	(1.95297583e-02 4.20896278e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)	(1.95297583e-02 4.20896278e-07 0.00000000e+00)	(5.10204081e-02 -4.97500000e-01 0.00000000e+00)
0.7             	p               	0.00000000e+00	(5.00000000e+00 -4.97500000e-01 0.00000000e+00)	9.79675277e-01	(5.10204082e-02 4.28211773e-01 0.00000000e+00)
