# Field minima and maxima
# Time          	field           	min             	location(min)   	max             	location(max)   
0.05            	U               	(1.95381440e-02 -3.59698761e-03 -7.68098670e-03)	(1.04166667e-01 -3.62918349e-01 3.39638896e-01)	(2.91141127e-01 2.44037931e-03 5.01670801e-02)	(1.04161933e-01 1.47134430e-02 -4.34581538e-01)
0.05            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.26629323e+01	(1.04161576e-01 1.62469914e-02 4.95582873e-01)
0.1             	U               	(5.18955639e-02 -6.87112370e-03 -1.42206709e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(6.55651096e-01 5.47321205e-02 1.05429678e-01)	(1.04166668e-01 1.24795253e-01 -3.91870719e-01)
0.1             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	4.00352142e+01	(1.04161576e-01 -1.62469780e-02 4.95582873e-01)
0.15            	U               	(6.86503605e-02 -7.91189387e-03 -2.03582130e-02)	(1.04166667e-01 -3.84028414e-01 3.15135882e-01)	(1.03535015e+00 5.44502297e-02 1.61345641e-01)	(1.04166668e-01 9.75474134e-02 -3.98140263e-01)
0.15            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	3.70031041e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)
0.2             	U               	(8.04141053e-02 -7.86456299e-03 -2.30237845e-02)	(1.04166667e-01 -3.84028414e-01 3.15135882e-01)	(1.40918019e+00 8.45426038e-03 2.09154197e-01)	(1.04162120e-01 1.40398328e-02 -4.07786745e-01)
0.2             	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	3.10159656e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)
0.25            	U               	(9.06661627e-02 -7.18734355e-03 -2.29016679e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(1.67565033e+00 7.73718871e-03 2.48134145e-01)	(1.04162120e-01 1.40398328e-02 -4.07786745e-01)
0.25            	p               	0.00000000e+00	(5.00000000e+00 -3.39638897e-01 3.62918348e-01)	2.30831789e+01	(1.04161576e-01 -1.62469778e-02 -4.95582873e-01)
0.3             	U               	(9.18991691e-02 -6.03160342e-03 -2.28012290e-02)	(1.04166667e-01 -3.39638897e-01 3.62918348e-01)	(1.83376889e+00 6.26727894e-03 2.72730533e-01)	(1.04162120e-01 1.40398328e-02 -4.07786745e-01)
